"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89"
"FGF14" -0.458716147447827 -0.0116042391134449 0.586662781415057 -0.898204333692446 0.239267665798527 0.136609176908991 0.637029689755874 1.00088871335238 -0.890566282291323 -0.651380850048146 -0.532727354438762 -1.50937464146004 1.47218657219241 -0.671784469326563 0.764642696526525 -0.934102487068948 -1.24111393650971 -1.50937464146004 0.0169130859925005 -0.0332341731473385 -0.23297180438376 -1.50937464146004 -0.51685227116962 0.564896802683509 -1.50937464146004 1.15751224629758 0.739611080468701 1.03699029714457 -0.93781026541153 -1.50937464146004 -0.147472103926638 0.536968611124602 0.473564020682643 1.05208858939164 0.455423703387066 0.210388777712175 -0.767916997626327 -1.11925405614415 -0.536298610777063 0.235462369131694 -1.50937464146004 -0.690174725176158 0.505050285501398 -0.556089211170351 -0.185756075651304 0.148609632424398 -0.105043009728311 -0.197061574704083 -0.780150739804213 0.68037216525415 0.206442664621637 1.27170236387703 0.131596127963831 0.211751102181563 0.139702109063341 -0.31293071468731 1.08309749274736 0.942967572043356 -1.50937464146004 0.255949254080291 0.97910726659414 0.134232277080602 0.328614263303723 2.20316954041116 0.281145359626873 -1.00153966786552 -1.50937464146004 -0.0932461528808747 -0.243810114666656 -0.715512909104124 0.290077134142711 0.564781170550203 0.617823480641957 1.02237110115794 0.26837287150385 2.34756084995784 4.80142803212498 -1.50937464146004 -1.50937464146004 0.199885713433014 0.715357686239921 -0.0278379569839807 -0.961202487691769 -0.4563921393973 0.460970071846196 -0.140201375514712 0.0920242328258298 -0.535682672060097 0.477119623045022
"CBX7" 1.98167023920081 -1.44876729967789 1.0616719474331 -0.635711997015357 -0.0578574196223569 -0.178139836397542 0.180436226175789 -1.34812920249395 -0.017724313401215 -1.41761452241111 0.343954790063798 -0.762986168845593 0.170301103344941 -0.769728997144863 1.06032391284604 0.749403308158997 -1.47131926104326 -0.15901556340251 0.89542473998742 0.213549946633746 -0.249949854048793 -0.343057682324103 1.08492344757948 0.34675244050708 -0.567629252617469 1.67683496236359 1.20423861730419 0.413895413808416 0.351653616940598 -1.2612694086489 -0.649054114249993 1.02691874303533 -1.08884561809003 0.886444369628825 -0.499614716217906 2.71457731469242 -1.59444079858513 -0.513330074074483 -0.634754202471368 -1.54163381761287 0.411602810857716 1.56339698509049 0.195569037259258 -1.55292796124974 0.0159152956416682 1.289289289235 0.348305333417182 -0.268543632224468 0.57203028701801 -1.22873365387086 -0.428608082694336 1.11265036472704 1.23854158758824 0.260313633416502 -0.516698762768544 0.229973238991633 -0.120043712105272 -0.963634453989809 -1.0812712464437 0.0344289162390538 1.56265756469797 1.85187186736564 -0.426363806925999 0.377870938830297 0.0151966549041099 0.406580298155143 -1.65157510031859 0.497412802062907 1.16418870821002 -0.237855124967523 1.30524830135351 -1.54473908195292 -1.86912417801996 -1.82394793712005 -0.199164835417306 0.643799796693452 0.39836732278738 -0.57355546155549 0.35858959619099 0.845913146225899 0.326495050088278 -1.94184082106446 -0.908725567063576 0.5372293856902 0.878446281700679 -0.913930301542253 1.18420388449465 -0.0331377516906613 -0.494067925255288
"PRAMEF2" 0.0725183492142599 -0.0573085191875363 1.04855443185322 -0.682074471848884 -0.682074471848884 -0.682074471848889 0.31311294016524 1.48075772735936 0.0991608761785866 -0.682074471848884 -0.682074471848884 -0.682074471848889 -0.682074471848884 -0.682074471848884 -0.682074471848884 -0.682074471848884 -0.682074471848884 -0.190860032941485 -0.682074471848889 0.120304343221808 -0.682074471848884 -0.682074471848884 0.508154638999605 0.0721894758728236 -0.682074471848884 1.48770690515549 -0.682074471848889 -0.682074471848889 -0.682074471848884 -0.682074471848884 -0.682074471848884 0.77562382988012 1.13896466702946 -0.682074471848884 -0.682074471848884 2.99388416337389 -0.682074471848889 -0.682074471848889 1.15326692826443 0.977170589163495 -0.682074471848884 -0.682074471848884 -0.682074471848889 1.11866993928287 0.13536226643534 1.51107584510326 -0.682074471848884 1.79809337112152 -0.682074471848884 -0.682074471848884 -0.146671581183335 1.47772403953804 -0.682074471848889 -0.682074471848889 -0.682074471848889 0.210089739096706 0.757501229337784 0.517013816487502 -0.682074471848884 -0.682074471848884 1.83584278698695 -0.682074471848889 0.79840269737839 1.05901465533319 1.43405548396185 -0.232766135535336 -0.682074471848884 -0.682074471848889 -0.682074471848884 -0.682074471848889 -0.682074471848884 -0.682074471848884 -0.682074471848884 1.99038958194041 -0.682074471848889 2.20359712296563 0.333635765534465 -0.682074471848884 3.25522956841442 0.753224545054216 -0.682074471848884 2.74045661344802 -0.682074471848884 -0.682074471848889 -0.682074471848884 -0.682074471848889 -0.682074471848889 -0.682074471848889 -0.0752701281625982
"PRAMEF4" 0.0487138322596408 -0.654807040821597 0.357657795204836 -0.654807040821592 -0.654807040821592 -0.654807040821597 -0.654807040821592 2.73068976758108 0.0735531539545194 -0.654807040821592 -0.654807040821592 -0.654807040821597 -0.654807040821592 -0.654807040821592 -0.654807040821592 -0.654807040821592 -0.26043748990869 -0.654807040821592 -0.654807040821597 -0.654807040821592 -0.654807040821592 -0.654807040821592 -0.000382416336075797 0.889236554166992 -0.654807040821592 1.75905294875629 -0.654807040821597 -0.654807040821597 -0.654807040821592 -0.230518884880808 -0.654807040821592 0.371263512242662 0.657798145541872 1.18275242095395 -0.100637070666498 3.90885942933002 -0.654807040821597 -0.654807040821597 0.77571017673219 -0.654807040821592 -0.654807040821592 0.549497194316332 -0.654807040821597 -0.0328486963245168 -0.654807040821592 2.094035606247 -0.654807040821592 1.27442189671331 -0.0257123616547637 0.436509981342986 -0.654807040821597 3.3614073152172 0.222222197288431 -0.654807040821597 -0.0455806682925684 -0.654807040821592 0.160530265781864 -0.654807040821592 0.41650822417773 -0.034567967017859 2.39505244469401 -0.654807040821597 1.00057307810349 0.968442622674582 1.01397982864468 -0.654807040821597 -0.654807040821592 -0.654807040821597 0.0612249837680619 -0.654807040821597 -0.654807040821592 -0.654807040821592 -0.654807040821592 1.16455261886899 -0.654807040821597 0.150764252905448 -0.108374020304726 -0.654807040821592 -0.654807040821592 0.353932200484325 -0.654807040821592 3.03464471335092 0.434995379528751 -0.654807040821597 -0.0152558697060217 -0.654807040821597 -0.654807040821597 0.525542968081894 -0.0890721043850082
"PRAMEF10" -0.516134481405542 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405542 -0.516134481405532 3.28743914861836 0.468990016761065 1.86308848169391 -0.516134481405532 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 0.817214311585731 -0.516134481405532 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 1.63286290325541 -0.516134481405542 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 2.04738515872963 0.982458054973137 -0.516134481405532 -0.516134481405532 2.76681780275506 -0.516134481405542 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405542 2.65066873111414 -0.516134481405532 0.776269521965739 -0.516134481405532 2.67890111657846 -0.516134481405532 2.19486969682033 -0.516134481405542 0.99204072416171 -0.516134481405542 -0.516134481405542 -0.516134481405542 -0.516134481405532 1.02181474352894 -0.516134481405532 0.669605902818545 -0.516134481405532 1.36043594483043 -0.516134481405542 3.42552226420664 0.898113611511951 0.949443585750312 0.274022674742656 -0.516134481405532 -0.516134481405542 -0.516134481405532 -0.516134481405542 -0.516134481405532 -0.516134481405532 -0.516134481405532 1.36267175643453 -0.516134481405542 -0.516134481405532 -0.516134481405532 0.512388047954842 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405532 -0.516134481405542 -0.516134481405532 -0.516134481405542 -0.516134481405542 0.43185157197376 -0.516134481405532
"PRAMEF11" -0.746027039931852 -0.746027039931852 -0.126700153565409 -0.746027039931846 -0.746027039931846 -0.746027039931852 -0.746027039931846 2.92524522113893 -0.197282854375668 0.0509823356772016 -0.746027039931846 -0.746027039931852 0.0839401908016614 0.221403639359975 -0.746027039931846 -0.746027039931846 -0.331658408169789 -0.746027039931846 -0.746027039931852 -0.746027039931846 -0.746027039931846 -0.746027039931846 0.419918811894113 1.44073410466978 -0.746027039931846 1.3794860842464 0.589230067737376 -0.746027039931852 0.701013696595597 -0.300222585092335 -0.0479524803554737 -0.746027039931846 0.633142355520117 -0.746027039931846 0.261418620921233 2.85493405500091 -0.746027039931852 -0.746027039931852 1.30046101437486 -0.160727862101737 -0.122702754225327 -0.746027039931846 -0.259667332027762 -0.0925282400735223 0.584647680596734 1.40237824706222 -0.0158647754018194 1.85206024891498 -0.0850300109986443 2.91112390355451 -0.746027039931852 2.24601754196628 -0.746027039931852 -0.746027039931852 -0.105905869740473 -0.746027039931846 0.664178190212037 -0.746027039931846 -0.0855337290528032 -0.746027039931846 2.00630256667769 -0.746027039931852 2.2200724626626 1.27468496674793 1.00738655450649 -0.746027039931852 -0.746027039931846 -0.746027039931852 0.00631605968174079 -0.225244824436923 -0.746027039931846 -0.746027039931846 -0.746027039931846 1.55768576056526 -0.746027039931852 -0.746027039931846 -0.746027039931846 -0.746027039931846 1.6237317544107 0.313866905371613 0.432387970820327 1.54242712992251 -0.746027039931846 -0.746027039931852 -0.746027039931846 0.297356331109788 -0.746027039931852 0.177677163897444 -0.746027039931846
"PRAMEF1" -0.740676486067342 -0.740676486067342 0.674233381726783 -0.740676486067337 0.0468271832448729 -0.740676486067342 -0.0272657085750446 2.82702608098733 -0.190309128032259 -0.740676486067337 -0.740676486067337 -0.740676486067342 -0.740676486067337 -0.740676486067337 0.0831253781817488 -0.740676486067337 -0.740676486067337 -0.258060532164967 -0.740676486067342 -0.740676486067337 -0.740676486067337 -0.740676486067337 0.428718206344791 -0.740676486067337 -0.740676486067337 1.13680182876051 0.0656605219809804 -0.740676486067342 -0.740676486067337 0.793871054644446 -0.740676486067337 0.340616675119757 -0.267695842013697 -0.740676486067337 -0.740676486067337 3.69024735793541 -0.740676486067342 -0.740676486067342 1.52740710566719 -0.740676486067337 -0.740676486067337 1.22583653680392 -0.25287813751157 0.37781568669432 0.593934339191974 1.82790266700709 -0.0083544186198278 1.2923825957774 -0.0777242433674307 0.409374676817684 0.180162338484137 2.70015753672797 1.80154503891224 -0.740676486067342 -0.740676486067342 -0.740676486067337 0.118541869881148 -0.740676486067337 -0.0782294514078239 -0.740676486067337 1.88291616655313 -0.740676486067342 1.24899111229353 0.96993566900905 1.60510921741893 -0.740676486067342 -0.740676486067337 -0.740676486067342 0.0138920268556314 -0.218353808947596 -0.740676486067337 -0.740676486067337 -0.222965123394335 0.308971175019443 -0.740676486067342 2.09448274190259 0.257254206266358 -0.740676486067337 -0.740676486067337 -0.12211332127985 0.441224248751754 2.45822225052907 0.108561705538831 -0.153117279302472 0.405464873578138 -0.740676486067342 -0.740676486067342 -0.211057559095704 -0.740676486067337
"PRAMEF6" -0.636607373546942 -0.636607373546942 -0.636607373546935 -0.636607373546935 -0.636607373546935 -0.636607373546942 -0.636607373546935 3.50908362714143 -0.262421813755149 -0.636607373546935 0.209531827896716 -0.636607373546942 -0.636607373546935 -0.636607373546935 -0.636607373546935 -0.636607373546935 -0.636607373546935 -0.636607373546935 -0.636607373546942 -0.636607373546935 -0.636607373546935 -0.104091840695235 -0.636607373546935 -0.636607373546935 -0.636607373546935 1.33521186562007 -0.0685735010686677 -0.636607373546942 -0.636607373546935 0.718061066854217 0.240091713748308 0.717363939558346 -0.636607373546942 0.525506813051394 -0.636607373546935 1.66002840477175 -0.636607373546942 -0.636607373546942 0.796043425914546 1.05650582197544 -0.636607373546935 -0.636607373546935 -0.636607373546942 0.184109831406083 -0.636607373546935 -0.636607373546935 0.280390076237466 2.41464147993192 -0.636607373546935 1.2599140047639 0.0220768606361703 2.357495225455 -0.636607373546942 -0.636607373546942 -0.636607373546942 0.460985691970079 -0.636607373546935 0.234321856851699 1.22837851674951 0.181841134393683 2.46108303920193 -0.636607373546942 1.54778159134037 0.35274991479505 1.96678058657865 1.00510842945903 -0.636607373546935 -0.636607373546942 -0.636607373546935 0.0174334975042362 -0.636607373546935 -0.636607373546935 -0.636607373546935 1.46333199122499 -0.636607373546942 3.13740961148411 -0.636607373546935 -0.636607373546935 -0.636607373546935 0.694494070747479 -0.636607373546935 2.23742041403757 0.426789853682177 -0.636607373546942 -0.636607373546935 -0.636607373546942 -0.636607373546942 -0.636607373546942 0.109919142070366
"BEND4" 1.83082880359182 -0.556757266408874 0.287495581153355 -0.438969161883076 -0.295962638083203 0.127439034372412 1.31077850065043 1.70057503204846 0.687452062627801 0.296857636126855 0.636482563578326 -0.613070958816158 -0.14099972240393 0.506827860263939 -0.461940724653406 -0.505911491814998 -0.356501318366676 -0.310099337127099 0.707005435360104 -0.0397806172924541 -0.842788906630999 -1.29763580819273 1.50458327476702 -0.573395473614757 0.703920243623268 2.55634130115919 1.13079480411841 -0.823824809670957 0.575218414383573 -1.14298449482924 -0.753883692752626 -0.0294963243596833 -0.13440861434678 1.17872303236125 -0.112586027113208 1.57007749933061 -1.81172577925177 -1.57752741579431 0.199764185816957 -1.20067659768009 -0.634968249332876 -0.0847903589867052 -1.33745904643649 -1.29884791329822 -0.0967837419212966 1.99898882158169 -0.0511679904188872 -0.0321926212007169 0.762421995538582 0.299746954021445 -0.222351086661641 0.837394924389346 0.675828528417843 -0.537341285253776 -0.0681606945031023 -2.24426997692343 -0.545399742427253 -0.429296079688475 -0.0337530565162548 -0.956057944653753 1.25159634557534 1.76539100584591 -0.339867734708514 1.00216987694421 -0.159816235433946 -0.297021040180389 -1.74484617143906 0.360253758809152 1.65723892987416 0.0134736345037008 2.59159586691986 0.0128760389546383 0.163718667223532 -0.475755041781316 -0.808022313040543 0.811500597136922 0.161744590206254 -0.820145466347403 -2.24426997692343 -0.0506192491078544 -0.0378888014252839 0.603330875705482 0.449462241220185 0.18397755115513 0.0439859968849686 -2.24426997692344 -0.376212217673022 0.0707297998355239 -1.03609107178357
"CCNB3" -0.622442355981086 -0.292129093827081 -0.273711831342448 0.636154109126801 0.796745602269337 -0.608388528707848 -0.861539170932696 1.80968405673296 -0.646042958772182 0.461914869532212 -0.376037770146229 -0.0920706143098289 0.127218874196345 -1.71485020633415 2.37692851868075 0.0785668782397094 -0.559437570807549 0.686554269189976 -0.282056732272462 -0.644848241187281 -1.37838836804359 -0.421066275905244 -0.733646432099806 -0.741112400341655 -0.495566350379326 -0.478583286004564 -0.489434360588827 0.0366040706216325 0.697931763094013 -1.55996499639364 0.0540888850332224 2.4256885488067 -0.903049787882627 -0.0396822229832563 -1.0907563296569 1.21215491170806 0.29214432149359 0.777740937488889 1.71756633825033 -0.101639170971554 0.833434947724935 0.184352208998899 -0.781276055599853 -1.1883284769439 -2.31794226329441 -0.908809104621556 -1.18455777299442 0.365062216529336 0.313446464954329 1.37148459123112 0.486064897407373 0.770795065903913 -0.519560571788887 -0.183548265535832 1.873600345106 1.157714052329 0.644781069915286 -1.62721253131924 -1.17331009620032 -1.05485954499513 0.535564708959203 -1.43000297146919 1.23388666942705 -0.214117129291894 -0.0653304443617006 -1.83453501380735 0.0935318152655266 0.499213823310761 3.11948321079718 -0.402779973683461 0.394863287513022 -0.218700873796894 -0.416005166022319 0.652368728856096 0.433134648629906 0.565963758704185 -0.620002856478054 -0.0212039141243904 -0.553135178780431 0.251450420128406 1.2069226559003 1.51365797946647 -1.05181899029571 0.516885105271513 1.28698950593276 0.172686281497742 -0.110211734585265 -0.319617619557606 -1.0617138088052
